brand,caliber,part_number,part_name,stock_quantity
Aurelius,CAL-A1,SYN-1001,Balance bridge,1
Montvale,CAL-B2,SYN-1002,Mainspring,8
Northstar,CAL-C3,SYN-1003,Setting wheel,4
Aurelius,CAL-D4,SYN-1004,Crown wheel,11
Montvale,CAL-A1,SYN-1005,Minute pinion,7
Northstar,CAL-B2,SYN-1006,Barrel arbor,3
Aurelius,CAL-C3,SYN-1007,Click spring,10
Montvale,CAL-D4,SYN-1008,Escape wheel,6
Northstar,CAL-A1,SYN-1009,Train bridge,2
Aurelius,CAL-B2,SYN-1010,Winding stem,9
Montvale,CAL-C3,SYN-1011,Jewel setting,5
Northstar,CAL-D4,SYN-1012,Regulator arm,1
Aurelius,CAL-A1,SYN-1013,Balance bridge,8
Montvale,CAL-B2,SYN-1014,Mainspring,4
Northstar,CAL-C3,SYN-1015,Setting wheel,11
Aurelius,CAL-D4,SYN-1016,Crown wheel,7
Montvale,CAL-A1,SYN-1017,Minute pinion,3
Northstar,CAL-B2,SYN-1018,Barrel arbor,10
Aurelius,CAL-C3,SYN-1019,Click spring,6
Montvale,CAL-D4,SYN-1020,Escape wheel,2
Northstar,CAL-A1,SYN-1021,Train bridge,9
Aurelius,CAL-B2,SYN-1022,Winding stem,5
Montvale,CAL-C3,SYN-1023,Jewel setting,1
Northstar,CAL-D4,SYN-1024,Regulator arm,8
Aurelius,CAL-A1,SYN-1025,Balance bridge,4
Montvale,CAL-B2,SYN-1026,Mainspring,11
Northstar,CAL-C3,SYN-1027,Setting wheel,7
Aurelius,CAL-D4,SYN-1028,Crown wheel,3
Montvale,CAL-A1,SYN-1029,Minute pinion,10
Northstar,CAL-B2,SYN-1030,Barrel arbor,6
Aurelius,CAL-C3,SYN-1031,Click spring,2
Montvale,CAL-D4,SYN-1032,Escape wheel,9
Northstar,CAL-A1,SYN-1033,Train bridge,5
Aurelius,CAL-B2,SYN-1034,Winding stem,1
Montvale,CAL-C3,SYN-1035,Jewel setting,8
Northstar,CAL-D4,SYN-1036,Regulator arm,4
Aurelius,CAL-A1,SYN-1037,Balance bridge,11
Montvale,CAL-B2,SYN-1038,Mainspring,7
Northstar,CAL-C3,SYN-1039,Setting wheel,3
Aurelius,CAL-D4,SYN-1040,Crown wheel,10
Montvale,CAL-A1,SYN-1041,Minute pinion,6
Northstar,CAL-B2,SYN-1042,Barrel arbor,2
Aurelius,CAL-C3,SYN-1043,Click spring,9
Montvale,CAL-D4,SYN-1044,Escape wheel,5
Northstar,CAL-A1,SYN-1045,Train bridge,1
Aurelius,CAL-B2,SYN-1046,Winding stem,8
Montvale,CAL-C3,SYN-1047,Jewel setting,4
Northstar,CAL-D4,SYN-1048,Regulator arm,11
Aurelius,CAL-A1,SYN-1049,Balance bridge,7
Montvale,CAL-B2,SYN-1050,Mainspring,3
Northstar,CAL-C3,SYN-1051,Setting wheel,10
Aurelius,CAL-D4,SYN-1052,Crown wheel,6
Montvale,CAL-A1,SYN-1053,Minute pinion,2
Northstar,CAL-B2,SYN-1054,Barrel arbor,9
Aurelius,CAL-C3,SYN-1055,Click spring,5
Montvale,CAL-D4,SYN-1056,Escape wheel,1
Northstar,CAL-A1,SYN-1057,Train bridge,8
Aurelius,CAL-B2,SYN-1058,Winding stem,4
Montvale,CAL-C3,SYN-1059,Jewel setting,11
Northstar,CAL-D4,SYN-1060,Regulator arm,7
Aurelius,CAL-A1,SYN-1061,Balance bridge,3
Montvale,CAL-B2,SYN-1062,Mainspring,10
Northstar,CAL-C3,SYN-1063,Setting wheel,6
Aurelius,CAL-D4,SYN-1064,Crown wheel,2
Montvale,CAL-A1,SYN-1065,Minute pinion,9
Northstar,CAL-B2,SYN-1066,Barrel arbor,5
Aurelius,CAL-C3,SYN-1067,Click spring,1
Montvale,CAL-D4,SYN-1068,Escape wheel,8
Northstar,CAL-A1,SYN-1069,Train bridge,4
Aurelius,CAL-B2,SYN-1070,Winding stem,11
Montvale,CAL-C3,SYN-1071,Jewel setting,7
Northstar,CAL-D4,SYN-1072,Regulator arm,3
